Longitude;Latitude;Year;Brightness
106.7041352;-6.896815594;2012;0.21835072
106.7086268;-6.896815594;2012;0.29527193
106.7131184;-6.896815594;2012;0.2401846
106.71761;-6.896815594;2012;0.27424428
106.7221015;-6.896815594;2012;0.24025957
106.7265931;-6.896815594;2012;0.2415419
106.7310847;-6.896815594;2012;0.2775923
106.7355763;-6.896815594;2012;0.3638443
106.7400678;-6.896815594;2012;0.2507568
106.7445594;-6.896815594;2012;0.20801988
106.749051;-6.896815594;2012;0.2588803
106.7535426;-6.896815594;2012;0.31226355
106.7580342;-6.896815594;2012;0.4718806
106.7625257;-6.896815594;2012;0.7573509
106.7670173;-6.896815594;2012;0.92075986
106.7715089;-6.896815594;2012;1.094567
106.7760005;-6.896815594;2012;2.0563629
106.780492;-6.896815594;2012;3.14778
106.7849836;-6.896815594;2012;4.524565
106.7894752;-6.896815594;2012;3.6422532
106.7939668;-6.896815594;2012;2.5231612
106.7984583;-6.896815594;2012;2.5311472
106.8029499;-6.896815594;2012;2.8788726
106.8074415;-6.896815594;2012;3.2826324
106.8119331;-6.896815594;2012;4.031043
106.8164246;-6.896815594;2012;3.8317542
106.8209162;-6.896815594;2012;4.023342
106.8254078;-6.896815594;2012;3.8342314
106.8298994;-6.896815594;2012;2.945663
106.834391;-6.896815594;2012;1.9017034
106.8388825;-6.896815594;2012;1.6093042
106.8433741;-6.896815594;2012;1.3928794
106.8478657;-6.896815594;2012;1.5012151
106.8523573;-6.896815594;2012;1.5105401
106.8568488;-6.896815594;2012;1.7334768
106.8613404;-6.896815594;2012;1.9786215
106.865832;-6.896815594;2012;2.371123
106.8703236;-6.896815594;2012;2.6687088
106.8748151;-6.896815594;2012;3.023725
106.8793067;-6.896815594;2012;3.1051943
106.8837983;-6.896815594;2012;3.253629
106.8882899;-6.896815594;2012;2.7904906
106.8927814;-6.896815594;2012;2.4939406
106.897273;-6.896815594;2012;2.723844
106.9017646;-6.896815594;2012;2.6765401
106.9062562;-6.896815594;2012;1.729905
106.9107478;-6.896815594;2012;1.840841
106.9152393;-6.896815594;2012;1.7818923
106.9197309;-6.896815594;2012;1.9509643
106.9242225;-6.896815594;2012;2.0118055
106.9287141;-6.896815594;2012;2.2047155
106.9332056;-6.896815594;2012;2.4564772
106.9376972;-6.896815594;2012;2.8280423
106.9421888;-6.896815594;2012;2.0927875
106.9466804;-6.896815594;2012;1.7347054
106.9511719;-6.896815594;2012;1.4408314
106.9556635;-6.896815594;2012;1.3542118
106.9601551;-6.896815594;2012;1.5411357
106.9646467;-6.896815594;2012;1.2945923
106.9691382;-6.896815594;2012;1.1143155
106.9736298;-6.896815594;2012;1.3483385
106.9781214;-6.896815594;2012;1.3072705
106.982613;-6.896815594;2012;1.2352169
106.9871046;-6.896815594;2012;1.4560171
106.9915961;-6.896815594;2012;1.7946519
106.9960877;-6.896815594;2012;2.0166614
106.7041352;-6.892324017;2012;0.32874164
106.7086268;-6.892324017;2012;0.44142646
106.7131184;-6.892324017;2012;0.27582794
106.71761;-6.892324017;2012;0.28923213
106.7221015;-6.892324017;2012;0.25179285
106.7265931;-6.892324017;2012;0.20588341
106.7310847;-6.892324017;2012;0.19042693
106.7355763;-6.892324017;2012;0.37810272
106.7400678;-6.892324017;2012;0.5234345
106.7445594;-6.892324017;2012;0.38337582
106.749051;-6.892324017;2012;0.28060892
106.7535426;-6.892324017;2012;0.32307
106.7580342;-6.892324017;2012;0.43173224
106.7625257;-6.892324017;2012;0.6454449
106.7670173;-6.892324017;2012;0.8173668
106.7715089;-6.892324017;2012;1.3619337
106.7760005;-6.892324017;2012;3.4144897
106.780492;-6.892324017;2012;4.7501073
106.7849836;-6.892324017;2012;5.071827
106.7894752;-6.892324017;2012;3.559307
106.7939668;-6.892324017;2012;2.3542929
106.7984583;-6.892324017;2012;2.3223004
106.8029499;-6.892324017;2012;2.6847377
106.8074415;-6.892324017;2012;2.8788717
106.8119331;-6.892324017;2012;3.2114165
106.8164246;-6.892324017;2012;2.5474484
106.8209162;-6.892324017;2012;2.0679178
106.8254078;-6.892324017;2012;2.3207078
106.8298994;-6.892324017;2012;1.9670755
106.834391;-6.892324017;2012;1.4375509
106.8388825;-6.892324017;2012;1.1957906
106.8433741;-6.892324017;2012;1.1428293
106.8478657;-6.892324017;2012;1.1571075
106.8523573;-6.892324017;2012;1.3407834
106.8568488;-6.892324017;2012;1.4794532
106.8613404;-6.892324017;2012;2.0898376
106.865832;-6.892324017;2012;2.4631917
106.8703236;-6.892324017;2012;2.1514897
106.8748151;-6.892324017;2012;2.100919
106.8793067;-6.892324017;2012;2.157802
106.8837983;-6.892324017;2012;2.571527
106.8882899;-6.892324017;2012;2.588416
106.8927814;-6.892324017;2012;2.2372098
106.897273;-6.892324017;2012;2.4640498
106.9017646;-6.892324017;2012;2.7715106
106.9062562;-6.892324017;2012;1.7156446
